target_velocities,holding_time,rpm
4016250,1,401.625
4020000,1,402
4023750,1,402.375
4027500,1,402.75
4031250,1,403.125
4035000,1,403.5
4038750,1,403.875
4042500,1,404.25
4046250,1,404.625
4050000,1,405
4053750,1,405.375
4057500,1,405.75
4061250,1,406.125
4065000,1,406.5
4068750,1,406.875
4072500,1,407.25
4076250,1,407.625
4080000,1,408
4083750,1,408.375
4087500,1,408.75
4091250,1,409.125
4095000,1,409.5
4098750,1,409.875
4102500,1,410.25
4106250,1,410.625
4110000,1,411
4113750,1,411.375
4117500,1,411.75
4121250,1,412.125
4125000,1,412.5
4128750,1,412.875
4132500,1,413.25
4136250,1,413.625
4140000,1,414
4143750,1,414.375
4147500,1,414.75
4151250,1,415.125
4155000,1,415.5
4158750,1,415.875
4162500,1,416.25
4166250,1,416.625
4170000,1,417
4173750,1,417.375
4177500,1,417.75
4181250,1,418.125
4185000,1,418.5
4188750,1,418.875
4192500,1,419.25
4196250,1,419.625
4200000,1,420
4203750,1,420.375
4207500,1,420.75
4211250,1,421.125
4215000,1,421.5
4218750,1,421.875
4222500,1,422.25
4226250,1,422.625
4230000,1,423
4233750,1,423.375
4237500,1,423.75
4241250,1,424.125
4245000,1,424.5
4248750,1,424.875
4252500,1,425.25
4256250,1,425.625
4260000,1,426
4263750,1,426.375
4267500,1,426.75
4271250,1,427.125
4275000,1,427.5
4278750,1,427.875
4282500,1,428.25
4286250,1,428.625
4290000,1,429
4293750,1,429.375
4297500,1,429.75
4301250,1,430.125
4305000,1,430.5
4308750,1,430.875
4312500,1,431.25
4316250,1,431.625
4320000,1,432
4323750,1,432.375
4327500,1,432.75
4331250,1,433.125
4335000,1,433.5
4338750,1,433.875
4342500,1,434.25
4346250,1,434.625
4350000,1,435
4353750,1,435.375
4357500,1,435.75
4361250,1,436.125
4365000,1,436.5
4368750,1,436.875
4372500,1,437.25
4376250,1,437.625
4380000,1,438
4383750,1,438.375
4387500,1,438.75
4391250,1,439.125
4395000,1,439.5
4398750,1,439.875
4402500,1,440.25
4406250,1,440.625
4410000,1,441
4413750,1,441.375
4417500,1,441.75
4421250,1,442.125
4425000,1,442.5
4428750,1,442.875
4432500,1,443.25
4436250,1,443.625
4440000,1,444
4443750,1,444.375
4447500,1,444.75
4451250,1,445.125
4455000,1,445.5
4458750,1,445.875
4462500,1,446.25
4466250,1,446.625
4470000,1,447
4473750,1,447.375
4477500,1,447.75
4481250,1,448.125
4485000,1,448.5
4488750,1,448.875
4492500,1,449.25
4496250,1,449.625
4500000,1,450
4503750,1,450.375
4507500,1,450.75
4511250,1,451.125
4515000,1,451.5
4518750,1,451.875
4522500,1,452.25
4526250,1,452.625
4530000,1,453
4533750,1,453.375
4537500,1,453.75
4541250,1,454.125
4545000,1,454.5
4548750,1,454.875
4552500,1,455.25
4556250,1,455.625
4560000,1,456
4563750,1,456.375
4567500,1,456.75
4571250,1,457.125
4575000,1,457.5
4578750,1,457.875
4582500,1,458.25
4586250,1,458.625
4590000,1,459
4593750,1,459.375
4597500,1,459.75
4601250,1,460.125
4605000,1,460.5
4608750,1,460.875
4612500,1,461.25
4616250,1,461.625
4620000,1,462
4623750,1,462.375
4627500,1,462.75
4631250,1,463.125
4635000,1,463.5
4638750,1,463.875
4642500,1,464.25
4646250,1,464.625
4650000,1,465
4653750,1,465.375
4657500,1,465.75
4661250,1,466.125
4665000,1,466.5
4668750,1,466.875
4672500,1,467.25
4676250,1,467.625
4680000,1,468
4683750,1,468.375
4687500,1,468.75
4691250,1,469.125
4695000,1,469.5
4698750,1,469.875
4702500,1,470.25
4706250,1,470.625
4710000,1,471
4713750,1,471.375
4717500,1,471.75
4721250,1,472.125
4725000,1,472.5
4728750,1,472.875
4732500,1,473.25
4736250,1,473.625
4740000,1,474
4743750,1,474.375
4747500,1,474.75
4751250,1,475.125
4755000,1,475.5
4758750,1,475.875
4762500,1,476.25
4766250,1,476.625
4770000,1,477
4773750,1,477.375
4777500,1,477.75
4781250,1,478.125
4785000,1,478.5
4788750,1,478.875
4792500,1,479.25
4796250,1,479.625
4800000,1,480
4803750,1,480.375
4807500,1,480.75
4811250,1,481.125
4815000,1,481.5
4818750,1,481.875
4822500,1,482.25
4826250,1,482.625
4830000,1,483
4833750,1,483.375
4837500,1,483.75
4841250,1,484.125
4845000,1,484.5
4848750,1,484.875
4852500,1,485.25
4856250,1,485.625
4860000,1,486
4863750,1,486.375
4867500,1,486.75
4871250,1,487.125
4875000,1,487.5
4878750,1,487.875
4882500,1,488.25
4886250,1,488.625
4890000,1,489
4893750,1,489.375
4897500,1,489.75
4901250,1,490.125
4905000,1,490.5
4908750,1,490.875
4912500,1,491.25
4916250,1,491.625
4920000,1,492
4923750,1,492.375
4927500,1,492.75
4931250,1,493.125
4935000,1,493.5
4938750,1,493.875
4942500,1,494.25
4946250,1,494.625
4950000,1,495
4953750,1,495.375
4957500,1,495.75
4961250,1,496.125
4965000,1,496.5
4968750,1,496.875
4972500,1,497.25
4976250,1,497.625
4980000,1,498
4983750,1,498.375
4987500,1,498.75
4991250,1,499.125
4995000,1,499.5
4998750,1,499.875
5002500,1,500.25
5006250,1,500.625
5010000,1,501
5013750,1,501.375
5017500,1,501.75
5021250,1,502.125
5025000,1,502.5
5028750,1,502.875
5032500,1,503.25
5036250,1,503.625
5040000,1,504
5043750,1,504.375
5047500,1,504.75
5051250,1,505.125
5055000,1,505.5
5058750,1,505.875
5062500,1,506.25
5066250,1,506.625
5070000,1,507
5073750,1,507.375
5077500,1,507.75
5081250,1,508.125
5085000,1,508.5
5088750,1,508.875
5092500,1,509.25
5096250,1,509.625
5100000,1,510
5103750,1,510.375
5107500,1,510.75
5111250,1,511.125
5115000,1,511.5
5118750,1,511.875
5122500,1,512.25
5126250,1,512.625
5130000,1,513
5133750,1,513.375
5137500,1,513.75
5141250,1,514.125
5145000,1,514.5
5148750,1,514.875
5152500,1,515.25
5156250,1,515.625
5160000,1,516
5163750,1,516.375
5167500,1,516.75
5171250,1,517.125
5175000,1,517.5
5178750,1,517.875
5182500,1,518.25
5186250,1,518.625
5190000,1,519
5193750,1,519.375
5197500,1,519.75
5201250,1,520.125
5205000,1,520.5
5208750,1,520.875
5212500,1,521.25
5216250,1,521.625
5220000,1,522
5223750,1,522.375
5227500,1,522.75
5231250,1,523.125
5235000,1,523.5
5238750,1,523.875
5242500,1,524.25
5246250,1,524.625
5250000,1,525
5253750,1,525.375
5257500,1,525.75
5261250,1,526.125
5265000,1,526.5
5268750,1,526.875
5272500,1,527.25
5276250,1,527.625
5280000,1,528
5283750,1,528.375
5287500,1,528.75
5291250,1,529.125
5295000,1,529.5
5298750,1,529.875
5302500,1,530.25
5306250,1,530.625
5310000,1,531
5313750,1,531.375
5317500,1,531.75
5321250,1,532.125
5325000,1,532.5
5328750,1,532.875
5332500,1,533.25
5336250,1,533.625
5340000,1,534
5343750,1,534.375
5347500,1,534.75
5351250,1,535.125
5355000,1,535.5
5358750,1,535.875
5362500,1,536.25
5366250,1,536.625
5370000,1,537
5373750,1,537.375
5377500,1,537.75
5381250,1,538.125
5385000,1,538.5
5388750,1,538.875
5392500,1,539.25
5396250,1,539.625
5400000,1,540
5403750,1,540.375
5407500,1,540.75
5411250,1,541.125
5415000,1,541.5
5418750,1,541.875
5422500,1,542.25
5426250,1,542.625
5430000,1,543
5433750,1,543.375
5437500,1,543.75
5441250,1,544.125
5445000,1,544.5
5448750,1,544.875
5452500,1,545.25
